,Unnamed: 0.1,index,Unnamed: 0,data,codice_spira,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,id_uni,Livello,tipologia,codice,codice arco,codice via,Nome via,Nodo da,Nodo a,ordinanza,stato,codimpsem,direzione,angolo,longitudine,latitudine,geopoint,ID_univoco_stazione_spira,giorno settimana,edge_id
0,0,0,13,01/02/2024,0.127 2.10 8 1,10,3,2,1,2,8,35,178,196,124,139,82,109,102,124,99,142,103,126,115,68,36,42,22,166,1,spira,553,954,51000,VIA FRANCESCO RONCATI,6039,6028,4000/343434,A,338,E,287,113.282.993.665.462,444.937.079.783.006,"44.4937079783006, 11.3282993665462",26,Giovedì,a58[1]
1,1,1,16,01/02/2024,0.127 2.18 8 1,227,100,42,45,74,228,640,1917,1953,1782,1450,1384,1479,1493,1529,1557,1693,2055,2076,1878,1427,634,534,399,95,1,spira,75,2633,25430,VIALE M. KARAMCHAND GANDHI,8763,4568,4000/343434,A,25,E,250,113.086.826.273.458,444.990.522.268.361,"44.4990522268361, 11.3086826273458",34,Giovedì,b1[0]
2,2,2,24,01/02/2024,0.127 2.33 10 1,151,72,38,35,27,59,149,492,587,473,411,426,422,417,436,471,553,591,603,550,368,262,266,298,945,2,spira,1044,7235,34000,VIA INNOCENZO MALVASIA,14721,8839,4000/343434,A,19,SO,158,113.216.426.062.022,445.012.616.462.669,"44.5012616462669, 11.3216426062022",61,Giovedì,b52
3,3,3,128,01/02/2024,2.2 2.8 8 1,95,27,9,21,30,101,237,974,1071,855,713,703,742,664,653,702,838,907,936,896,685,382,226,221,102,1,spira,84,211,18000,VIA ANDREA COSTA,4574,4577,4000/343434,A,335,NE,279,113.037.697.479.955,444.929.234.732.667,"44.4929234732667, 11.3037697479955",439,Giovedì,a78[0]
4,4,4,137,01/02/2024,2.10 2.21 6 1,143,64,29,37,35,65,220,1135,1513,1145,885,867,839,965,1014,969,1009,1068,1071,998,639,388,304,277,14,1,spira,95,7563,61550,VIALE GIOVANNI VICINI,16678,16693,4000/343434,A,338,NO,10,113.283.987.885.526,44.494.907.669.431,"44.494907669431, 11.3283987885526",401,Giovedì,a201
5,5,6,146,01/02/2024,2.21 2.10 6 1,187,91,45,29,49,115,414,1174,1360,1244,944,986,1041,1131,1072,1086,1209,1327,1389,1338,1062,546,438,410,354,1,spira,102,8751,61550,VIALE GIOVANNI VICINI,16682,16683,4000/343434,A,22,S,195,113.275.349.874.958,444.968.992.842.874,"44.4968992842874, 11.3275349874958",442,Giovedì,a203[1]
6,6,7,147,01/02/2024,2.21 2.35 8 1,277,128,58,62,82,176,526,2065,2625,2170,1662,1640,1555,1651,1819,1729,1939,1982,2066,1877,1373,746,598,545,353,1,spira,100,7573,61550,VIALE GIOVANNI VICINI,16680,15305,4000/343434,A,22,N,14,113.276.196.333.253,444.972.874.200.715,"44.4972874200715, 11.3276196333253",443,Giovedì,a201
7,7,8,150,01/02/2024,2.25 2.26 8 1,46,19,9,12,24,82,160,408,471,463,467,401,449,421,396,449,561,502,446,393,280,140,118,87,307,1,spira,49,4910,21400,VIA EMILIA PONENTE,15796,8684,4000/343434,A,11,E,240,112.815.106.068.203,445.151.596.315.856,"44.5151596315856, 11.2815106068203",449,Giovedì,b8
8,8,9,151,01/02/2024,2.26 2.25 4 1,78,36,11,22,50,111,232,610,738,649,704,632,566,609,637,587,692,708,595,574,452,227,164,151,182,1,spira,574,2574,21400,VIA EMILIA PONENTE,8711,8693,4000/343434,A,254,NO,56,11.287.461.221.671,445.123.626.162.894,"44.5123626162894, 11.287461221671",451,Giovedì,b56[1][0]
9,9,10,152,01/02/2024,2.26 2.27 8 1,86,42,19,46,79,127,247,706,839,689,658,683,672,627,662,667,765,773,792,626,425,254,242,265,306,1,spira,46,6867,21400,VIA EMILIA PONENTE,8711,14459,4000/343434,A,254,E,240,112.878.487.733.012,44.512.090.924.049,"44.512090924049, 11.2878487733012",452,Giovedì,b8
10,10,11,153,01/02/2024,2.28 2.29 8 1,91,34,35,22,85,92,189,413,543,434,441,438,440,408,427,410,465,549,414,422,356,197,185,166,302,1,spira,42,2605,21400,VIA EMILIA PONENTE,8744,8738,4000/343434,A,14,E,260,112.980.846.229.246,445.085.832.490.053,"44.5085832490053, 11.2980846229246",458,Giovedì,b8
11,11,12,155,01/02/2024,2.30 2.30 6 1,125,53,34,40,52,125,523,967,966,949,825,772,704,776,410,850,1039,1120,957,806,635,312,279,245,296,1,spira,36,5425,45190,VIALE SANDRO PERTINI,13354,13344,4000/343434,A,16,N,340,113.092.167.352.814,445.053.085.046.798,"44.5053085046798, 11.3092167352814",469,Giovedì,b13[0]
12,12,13,156,01/02/2024,2.31 2.30 4 1,226,114,48,48,52,91,208,710,894,858,766,827,803,829,945,840,961,809,841,849,571,366,386,381,293,1,spira,33,2681,21400,VIA EMILIA PONENTE,8776,8780,4000/343434,A,300,O,66,113.133.986.552.922,445.041.992.237.176,"44.5041992237176, 11.3133986552922",472,Giovedì,b56[1][0]
13,13,14,157,01/02/2024,2.33 0.127 6 1,61,16,6,6,8,31,129,494,627,401,295,269,291,267,297,305,333,387,387,337,228,141,116,102,194,1,spira,587,7235,34000,VIA INNOCENZO MALVASIA,8839,14721,4000/343434,A,19,N,338,113.218.017.649.932,445.013.661.662.167,"44.5013661662167, 11.3218017649932",477,Giovedì,b53
14,14,15,159,01/02/2024,2.34 2.33 4 1,212,80,37,39,31,78,192,666,761,698,543,621,522,638,706,702,838,808,812,738,478,316,289,290,196,1,spira,589,4572,52400,VIA AURELIO SAFFI,8838,8845,4000/343434,A,20,O,66,113.239.415.903.186,445.004.735.823.277,"44.5004735823277, 11.3239415903186",480,Giovedì,b12
15,15,16,161,01/02/2024,2.35 2.38 8 1,78,42,21,26,34,65,174,716,910,777,551,591,552,515,606,586,661,647,697,607,502,247,194,157,283,1,spira,23,8785,54950,VIALE ANTONIO SILVANI,16696,16702,4000/343434,A,21,NE,296,113.275.922.602.577,444.996.245.123.973,"44.4996245123973, 11.3275922602577",485,Giovedì,a204[1][1]
16,16,17,165,01/02/2024,2.38 2.35 4 1,263,115,59,47,48,105,220,796,887,804,764,859,885,896,840,905,1062,1023,1084,1021,811,512,440,443,73,1,spira,327,2973,54950,VIALE ANTONIO SILVANI,10159,15234,4000/343434,A,151,SO,125,113.294.927.544.257,445.007.251.431.592,"44.5007251431592, 11.3294927544257",490,Giovedì,a203[0]
17,17,18,166,01/02/2024,2.38 3.7 8 1,122,66,29,36,54,84,264,997,1249,948,716,757,710,700,816,778,857,884,888,765,672,338,269,247,72,1,spira,326,8781,54950,VIALE ANTONIO SILVANI,16695,16698,4000/343434,A,151,NE,307,11.330.518.010.785,445.010.668.033.697,"44.5010668033697, 11.330518010785",491,Giovedì,a204[1][1]
857,857,956,27103,01/02/2024,0.127 2.30 2 1,239,101,36,39,57,126,277,812,1021,848,784,841,789,939,911,1008,1086,1142,1196,1006,672,376,784,994,294,1,spira,34,9183,47900,VIA PRATI DI CAPRARA,16946,13345,4000/343434,A,16,S,161,113.094.463.610.492,445.059.291.474.411,"44.5059291474411, 11.3094463610492",52,Giovedì,b3[0]
858,858,957,27106,01/02/2024,0.127 2.33 6 1,55,11,7,5,7,34,125,478,618,376,266,260,273,261,274,278,320,359,353,310,208,111,102,74,195,1,spira,588,2729,62250,VIA VITTORIO VENETO,8814,8839,4000/343434,A,19,N,336,113.215.733.072.765,445.009.942.351.004,"44.5009942351004, 11.3215733072765",60,Giovedì,b49[0]
859,859,958,27109,01/02/2024,0.127 2.82 8 1,10,3,1,3,4,10,40,270,326,136,102,95,100,106,92,127,144,173,263,132,102,60,39,41,206,1,spira,600,2647,44650,VIA PASUBIO,8787,4566,4000/343434,A,42,E,248,113.107.102.075.303,445.006.771.544.669,"44.5006771544669, 11.3107102075303",84,Giovedì,b14
860,860,959,27209,01/02/2024,2.18 2.19 8 1,233,105,43,45,74,218,620,1952,2047,1786,1483,1431,1518,1593,1575,1565,1780,2145,2190,1936,1514,662,567,436,96,1,spira,77,4219,25430,VIALE M. KARAMCHAND GANDHI,4568,16850,4000/343434,A,25,E,250,113.103.750.297.562,444.985.943.485.971,"44.4985943485971, 11.3103750297562",419,Giovedì,b1[0]
861,861,960,27211,01/02/2024,2.19 0.127 8 1,64,20,8,13,10,33,140,562,628,474,378,384,377,429,502,449,524,602,573,492,362,178,154,140,173,1,spira,564,7215,44650,VIA PASUBIO,4701,14708,4000/343434,A,24,E,248,113.172.169.050.193,444.986.653.950.908,"44.4986653950908, 11.3172169050193",422,Giovedì,b14
862,862,961,27212,01/02/2024,2.19 2.19 2 1,38,15,7,4,9,18,55,300,548,300,179,213,217,244,253,239,347,416,406,301,185,103,56,90,360,1,spira,108,357,57650,VIA DEL TIMAVO,4701,4680,4000/343434,A,24,S,160,113.167.288.638.096,44.498.596.866.165,"44.498596866165, 11.3167288638096",424,Giovedì,b39[0]
863,863,962,27220,01/02/2024,2.27 2.26 4 1,17,3,3,6,20,31,57,141,161,190,155,158,143,137,148,148,180,172,157,154,100,45,25,23,304,1,spira,44,5940,21400,VIA EMILIA PONENTE,13714,8592,4000/343434,A,13,NO,63,112.898.176.294.478,445.113.136.553.154,"44.5113136553154, 11.2898176294478",454,Giovedì,b56[1][0]
864,864,963,27223,01/02/2024,2.28 0.127 6 1,24,6,8,1,1,8,15,26,55,58,52,73,74,62,55,63,85,98,115,79,43,39,40,42,301,2,spira,41,2612,21400,VIA EMILIA PONENTE,8742,8739,,A,14,E,75,112.969.389.020.555,445.088.642.358.691,"44.5088642358691, 11.2969389020555",457,Giovedì,b8
865,865,964,27225,01/02/2024,2.30 0.127 2 1,543,274,116,111,135,269,521,1610,1950,1687,1584,1677,1614,1759,1857,1891,2100,2192,2230,1949,1404,818,1227,1465,188,1,spira,580,6122,45190,VIALE SANDRO PERTINI,13345,13882,4000/343434,A,16,S,157,11.309.082.303.102,445.053.154.347.885,"44.5053154347885, 11.309082303102",466,Giovedì,b3[1]
866,866,965,27226,01/02/2024,2.30 2.31 8 1,23,17,11,9,25,18,39,99,100,89,65,52,69,65,71,67,67,87,63,73,45,20,27,25,189,1,spira,581,5409,21400,VIA EMILIA PONENTE,13344,8807,4000/343434,A,16,E,247,113.096.947.184.232,445.054.053.954.154,"44.5054053954154, 11.3096947184232",470,Giovedì,b8
867,867,966,27229,01/02/2024,2.34 2.35 8 1,25,17,10,15,24,27,46,117,115,123,102,92,94,79,95,74,91,86,84,69,63,30,27,30,287,1,spira,27,2708,52400,VIA AURELIO SAFFI,8838,8835,4000/343434,A,20,E,246,11.324.532.869.825,445.001.722.736.237,"44.5001722736237, 11.324532869825",481,Giovedì,b35[1][0]
868,868,967,27230,01/02/2024,2.35 2.34 4 1,262,115,54,45,47,111,221,943,1011,986,750,865,840,948,965,878,1142,1154,1212,1066,652,414,383,375,285,1,spira,25,2860,52400,VIA AURELIO SAFFI,15233,8834,4000/343434,A,21,O,66,113.266.685.739.012,444.994.937.005.152,"44.4994937005152, 11.3266685739012",484,Giovedì,b12
