StartingPoint;EndPoint;RoadName;Direction;Longitude;Latitude;Geopoint;TrafficLoopID;EdgeID;TrafficLoopCode;TrafficLoopLevel
16764;16767;VIALE GIOSUE' CARDUCCI;S;113.578.224.490.571;444.868.707.985.229;44.4868707985229, 11.3578224490571;807;23288872#4;4.43 4.42 8 1;1
16667;5976;VIALE ENRICO PANZACCHI;O;113.468.934.808.921;444.856.263.849.042;44.4856263849042, 11.3468934808921;812;135982476#1;4.44 4.45 8 1;1
5968;16671;VIALE ENRICO PANZACCHI;O;11.342.337.785.016;444.861.740.041.159;44.4861740041159, 11.342337785016;815;135982476#4;4.45 4.46 8 1;1
16642;5927;VIA S.MAMOLO;S;113.394.786.003.338;444.861.244.548.773;44.4861244548773, 11.3394786003338;816;-31322298#6;4.46 0.127 6 1;1
14721;8839;VIA INNOCENZO MALVASIA;SO;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;27032657#2;0.127 2.33 10 1;2
10175;10177;VIA LUIGI CALORI;O;113.307.404.153.447;445.006.446.666.916;44.5006446666916, 11.3307404153447;64;281681811#1;0.127 2.38 6 1;1
10330;16745;VIALE ANGELO MASINI;SE;113.522.004.383.547;445.024.117.698.549;44.5024117698549, 11.3522004383547;143;23184327#5;0.127 3.33 10 1;2
13923;10596;VIA DEL LAVORO;O;113.557.289.516.272;445.077.298.694.167;44.5077298694167, 11.3557289516272;142;-24266527#0;0.127 3.32 4 1;1
15762;10310;VIA DE' CARRACCI;E;113.458.095.970.625;445.069.667.610.567;44.5069667610567, 11.3458095970625;126;23277216#5;0.127 3.21 8 1;1
16716;16733;VIA PAOLO BOVI CAMPEGGI;N;113.371.420.330.943;445.050.913.042.932;44.5050913042932, 11.3371420330943;102;-148678215#0;0.127 3.9 2 1;1
16642;16669;VIALE ENRICO PANZACCHI;E;113.400.679.866.928;444.862.876.958.404;44.4862876958404, 11.3400679866928;818;292179033#7;4.46 4.45 4 1;1
16680;15305;VIALE GIOVANNI VICINI;N;113.276.196.333.253;444.972.874.200.715;44.4972874200715, 11.3276196333253;443;23288945#4;2.21 2.35 8 1;1
17518;16625;VIALE ALDO MORO;NO;11.364.133.058.346;445.074.405.486.193;44.5074405486193, 11.364133058346;682;216686365;3.91 3.31 4 1;1
15198;10330;VIALE ANGELO MASINI;SE;113.509.310.151.717;44.502.954.297.571;44.502954297571, 11.3509310151717;647;23184327#4;3.54 3.33 7 1;1
17477;16729;VIALE PIETRO PIETRAMELLARA;O;113.411.825.676.299;445.055.165.386.155;44.5055165386155, 11.3411825676299;644;80655884#0;3.52 3.9 4 1;1
10509;17406;VIA RUGGERO RUGGERI;NE;113.617.986.946.849;445.053.455.215.704;44.5053455215704, 11.3617986946849;630;-56061733#2;3.48 3.47 6 1;1
10503;10501;VIA DEL LAVORO;SE;113.602.473.392.686;445.043.796.829.685;44.5043796829685, 11.3602473392686;629;41277856#0;3.48 3.46 8 1;1
17406;10509;VIA RUGGERO RUGGERI;SO;113.616.569.340.703;445.053.596.507.755;44.5053596507755, 11.3616569340703;628;56061733#2;3.47 3.48 2 1;1
10472;10471;VIA ROMOLO AMASEO;E;113.628.910.381.438;445.022.271.945.613;44.5022271945613, 11.3628910381438;625;23621960#1;3.46 3.45 8 1;1
10471;10482;PIAZZA ADAM MICKIEWICZ;SE;113.649.515.988.678;445.017.697.010.974;44.5017697010974, 11.3649515988678;623;41277857#0;3.45 4.7 8 1;1
6575;6572;VIA GIUSEPPE MASSARENTI;E;113.663.460.561.285;44.492.551.360.397;44.492551360397, 11.3663460561285;845;119742504#0;4.6 4.5 6 1;1
6575;14955;VIA LIBIA;N;113.659.863.782.663;444.928.140.792.653;44.4928140792653, 11.3659863782663;846;-24589437#10;4.6 4.7 4 1;1
6475;16169;VIA GIUSEPPE MASSARENTI;E;113.576.701.747.149;444.939.334.882.945;44.4939334882945, 11.3576701747149;898;23275345#10;4.9 4.8 6 1;1
6435;6453;VIA MAZZINI;E;113.666.149.694.305;444.865.236.525.277;44.4865236525277, 11.3666149694305;722;253811695#5;4.17 4.16 6 1;1
6435;6366;VIA MAZZINI;O;1.136.606.510.483;444.867.936.082.734;44.4867936082734, 11.36606510483;723;149955205#4;4.17 4.18 2 1;1
6468;16319;VIA MAZZINI;E;113.583.559.634.235;444.897.501.701.348;44.4897501701348, 11.3583559634235;729;149955205#0;4.19 4.18 6 1;1
16765;16761;VIALE GIOSUE' CARDUCCI;S;113.575.423.947.453;444.893.377.631.406;44.4893377631406, 11.3575423947453;730;23288872#0;4.19 4.43 8 1;1
10474;13590;VIA DELL'ARTIGIANO;NE;113.653.720.481.785;445.022.594.792.447;44.5022594792447, 11.3653720481785;622;199915505#0;3.45 3.43 6 1;1
10474;10473;VIA ERMANNO GALEOTTI;NO;11.364.946.592.998;445.022.374.694.553;44.5022374694553, 11.364946592998;621;23815777;3.45 3.42 4 1;1
10550;13937;VIA S.DONATO;NO;113.671.472.559.715;445.038.726.187.642;44.5038726187642, 11.3671472559715;614;40872975#1;3.41 3.42 2 1;1
16695;16698;VIALE ANTONIO SILVANI;NE;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;151824722#0;2.38 3.7 8 1;1
10159;15234;VIALE ANTONIO SILVANI;SO;113.294.927.544.257;445.007.251.431.592;44.5007251431592, 11.3294927544257;490;151824728#0;2.38 2.35 4 1;1
13919;10164;VIA FRANCESCO ZANARDI;NO;113.330.778.623.208;445.029.262.976.651;44.5029262976651, 11.3330778623208;661;23296535#3;3.7 3.6 6 1;1
16696;16702;VIALE ANTONIO SILVANI;NE;113.275.922.602.577;444.996.245.123.973;44.4996245123973, 11.3275922602577;485;23288960#3;2.35 2.38 8 1;1
8839;14721;VIA INNOCENZO MALVASIA;N;113.218.017.649.932;445.013.661.662.167;44.5013661662167, 11.3218017649932;477;-27032657#2;2.33 0.127 6 1;1
8838;8845;VIA AURELIO SAFFI;O;113.239.415.903.186;445.004.735.823.277;44.5004735823277, 11.3239415903186;480;23289608#4;2.34 2.33 4 1;1
10163;10208;VIA DON GIOVANNI MINZONI;E;113.352.084.138.379;445.031.396.394.546;44.5031396394546, 11.3352084138379;663;34547773;3.8 0.127 2 1;1
16719;10165;VIALE PIETRO PIETRAMELLARA;SO;113.341.949.740.306;44.503.136.032.281;44.503136032281, 11.3341949740306;665;132006073#0;3.8 3.7 4 1;1
16740;16747;VIALE ANGELO MASINI;O;113.521.598.288.255;445.025.828.252.444;44.5025828252444, 11.3521598288255;592;23288767#0;3.33 3.54 4 1;1
17478;10311;VIALE PIETRO PIETRAMELLARA;E;113.439.423.895.667;445.049.648.841.542;44.5049648841542, 11.3439423895667;566;293298723#1;3.25 3.25 8 1;1
16723;16727;PIAZZA XX SETTEMBRE;O;113.449.534.559.094;445.049.265.403.931;44.5049265403931, 11.3449534559094;565;23277071#0;3.25 3.25 4 1;1
10320;16721;PIAZZA DELLE MEDAGLIE D'ORO;S;113.426.488.770.414;445.053.906.447.778;44.5053906447778, 11.3426488770414;560;149899452#0;3.25 0.127 1 1;1
10310;15570;VIA GIACOMO MATTEOTTI;S;113.459.581.931.791;44.506.721.871.953;44.506721871953, 11.3459581931791;552;41277870#1;3.21 3.25 2 1;1
10473;14933;VIALE DELLA REPUBBLICA;NO;113.640.024.731.671;445.036.925.948.154;44.5036925948154, 11.3640024731671;617;-39673910;3.42 3.47 4 1;1
6436;16317;VIA MAZZINI;E;113.694.071.195.436;444.855.032.333.141;44.4855032333141, 11.3694071195436;718;253811695#0;4.16 4.15 6 1;1
6437;6446;VIA LEANDRO ALBERTI;O;113.680.495.585.809;444.845.847.860.172;44.4845847860172, 11.3680495585809;911;49403726#2;4.93 4.94 2 1;1
6563;6562;VIA CARLO ALBERTO PIZZARDI;SE;1.136.642.615.151.490;4.449.063.628.895.750;44.49063628895752, 11.36642615151493;884;55302015#0;4.88 4.86 6 2;1
6558;6562;VIA PELAGIO PALAGI;N;11.366.095.334.670.000;4.449.091.425.974.860;44.49091425974863, 11.366095334670003;882;55302014#0;4.88 4.6 4 2;1
6454;6365;VIA PELAGIO PALAGI;S;11.366.171.516.279.600;44.489.052.109.413.200;44.489052109413294, 11.366171516279632;879;-23275370#2;4.87 4.17 8 2;1
15231;15635;VIA S.FELICE;SE;113.278.724.580.295;444.989.805.631.524;44.4989805631524, 11.3278724580295;482;33832076;2.35 1.9 2 1;1
10158;16697;VIALE ANTONIO SILVANI;SO;113.322.047.011.224;445.021.303.998.721;44.5021303998721, 11.3322047011224;660;23288757#2;3.7 2.38 4 1;1
16750;16751;VIALE CARLO BERTI PICHAT;S;113.564.315.384.379;444.987.748.052.734;44.4987748052734, 11.3564315384379;168;34395278#1;0.127 3.50 10 1;2
191;193;VIA RIVA DI RENO;E;113.355.035.956.399;444.983.502.636.748;44.4983502636748, 11.3355035956399;397;33831421#3;1.9 1.10 8 2;1
17074;195;VIA RIVA DI RENO;NE;113.361.015.838.849;444.985.433.372.994;44.4985433372994, 11.3361015838849;342;151766115#0;1.10 1.18 8 1;1
6345;6355;VIA S.STEFANO;SE;113.559.501.572.473;444.849.629.869.879;44.4849629869879, 11.3559501572473;263;135982512#2;0.127 4.41 6 1;1
6331;6301;VIA GIOVAN BATTISTA GANDINO;NE;113.584.440.126.321;444.827.843.221.294;44.4827843221294, 11.3584440126321;249;98387481#0;0.127 4.33 4 1;1
13540;15635;VIA S.FELICE;NO;113.307.270.636.654;444.980.414.260.355;44.4980414260355, 11.3307270636654;394;33832076;1.9 0.127 6 1;1
10461;10297;VIA IRNERIO;O;113.541.905.267.056;444.988.352.006.824;44.4988352006824, 11.3541905267056;340;-32242298;1.1 1.2 4 1;1
15519;10503;VIA VEZZA;NE;113.598.279.114.909;44.504.380.073.977;44.504380073977, 11.3598279114909;165;53238691#2;0.127 3.48 6 1;1
16753;6503;VIALE QUIRICO FILOPANTI;S;113.565.484.646.688;444.977.828.910.658;44.4977828910658, 11.3565484646688;638;23288823#0;3.50 4.9 8 1;1
10459;14572;VIALE CARLO BERTI PICHAT;N;113.566.283.063.017;444.990.495.654.068;44.4990495654068, 11.3566283063017;637;23288787#0;3.50 3.51 4 1;1
10464;10461;VIA G.BATTISTA DE ROLANDIS;N;113.541.657.967.424;444.985.349.106.485;44.4985349106485, 11.3541657967424;1;23183657;0.127 1.1 6 1;1
10460;10461;VIA IRNERIO;O;113.554.272.214.055;444.984.932.059.706;44.4984932059706, 11.3554272214055;635;260481406#0;3.50 1.1 2 2;1
192;191;VIA RIVA DI RENO;O;113.352.662.215.662;444.986.402.189.515;44.4986402189515, 11.3352662215662;343;80655883#0;1.10 1.9 4 1;1
10461;10460;VIA IRNERIO;E;113.544.256.459.412;444.986.745.500.237;44.4986745500237, 11.3544256459412;341;-260481406#1;1.1 3.50 6 1;1
